"rank","eff","conf","color"
1,12659.89,"K computer, SPARC64 VIIIfx 2.0GHz, Tofu interconnect","#6495ED"
2,4040,"NUDT YH MPP, Xeon X5670 6C 2.93 GHz, NVIDIA 2050","#DC143C"
3,6950,"Cray XT5-HE Opteron 6-core 2.6 GHz","#00FFFF"
4,2580,"Dawning TC3600 Blade System, Xeon X5650 6C 2.66GHz, Infiniband QDR, NVIDIA 2050","#00008B"
5,1398.61,"HP ProLiant SL390s G7 Xeon 6C X5670, Nvidia GPU, Linux/Windows","#008B8B"
6,3980,"Cray XE6, Opteron 6136 8C 2.40GHz, Custom","#DC143C"
7,4102,"SGI Altix ICE 8200EX/8400EX, Xeon HT QC 3.0/Xeon 5570/5670 2.93 Ghz, Infiniband","#B8860B"
8,2910,"Cray XE6, Opteron 6172 12C 2.10GHz, Custom","#DC143C"
9,4590,"Bull bullx super-node S6010/S6030","#A9A9A9"
10,2345,"BladeCenter QS22/LS21 Cluster, PowerXCell 8i 3.2 Ghz / Opteron DC 1.8 GHz, Voltaire Infiniband","#006400"
11,3090,"Cray XT5-HE Opteron Six Core 2.6 GHz","#DC143C"
13,2268,"Blue Gene/P Solution","#A9A9A9"
14,1074,"Sunway BlueLight MPP, ShenWei processor SW1600 975.00 MHz, Infiniband QDR","#A9A9A9"
15,924.16,"Xtreme-X GreenBlade GB512X, Xeon E5 (Sandy Bridge - EP) 8C 2.60GHz, Infiniband QDR","#DC143C"
16,1155.07,"NUDT YH MPP, Xeon X5670 6C 2.93 GHz, Proprietary, NVIDIA 2050","#6495ED"
17,340.5,"BlueGene/Q, Power BQC 16C 1.60 GHz, Custom","#A9A9A9"
18,2800,"T-Platforms T-Blade2/1.1, Xeon X5570/X5670 2.93 GHz, Nvidia 2070 GPU, Infiniband QDR","#BDB76B"
20,972,"Cray XE6, Opteron 6276 16C 2.30GHz, Cray Gemini interconnect","#DC143C"
21,540,"Mole-8.5 Cluster, Xeon X5520 4C 2.27 GHz, Infiniband QDR, NVIDIA 2050","#8B008B"
22,2329,"eServer Blue Gene Solution","#A9A9A9"
23,1260,"Blue Gene/P Solution","#A9A9A9"
24,4343.73,"Sun Blade x6275, Xeon X55xx 2.93 Ghz, Infiniband","#556B2F"
25,2000,"SunBlade x6420, Opteron QC 2.3 Ghz, Infiniband","#8B008B"
26,1134,"Blue Gene/P Solution","#A9A9A9"
29,170.25,"BlueGene/Q, Power BQC 16C 1.60 GHz, Custom","#A9A9A9"
31,1711.6,"Cray XE6 12-core 2.1 GHz","#DC143C"
32,1711.6,"Cray XE6 12-core 2.1 GHz","#DC143C"
33,416.78,"Supermicro Cluster, QC Opteron 2.1 GHz, ATI Radeon GPU, Infiniband","#FF8C00"
35,1726.32,"Cray XE6 12-core 2.2 GHz","#DC143C"
36,1549,"Sun Constellation, NovaScale R422-E2, Intel Xeon X5570, 2.93 GHz, Sun M9/Mellanox  QDR Infiniband/Partec Parastation","#B8860B"
37,1275,"Sun Blade x6048,  X6275, IB QDR M9 switch, Sun HPC stack Linux edition","#8B008B"
38,1150,"Cray XT4 QuadCore 2.3 GHz","#DC143C"
43,1064,"SGI Altix ICE 8200EX, Xeon E5472 3.0/X5560 2.8 GHz","#008B8B"
45,281.6,"Xtreme-X GreenBlade GB512X, Xeon E5 (Sandy Bridge - EP) 8C 2.60GHz, Infiniband QDR","#DC143C"
46,540.4,"Xtreme-X 1320H-LANL, Opteron 12 Core 2.30 GHz, Infiniband QDR","#DC143C"
48,252.16,"Xtreme-X GreenBlade GB512X, Xeon E5 (Sandy Bridge - EP) 8C 2.60GHz, Infiniband QDR","#DC143C"
50,2506,"Cray XT3/XT4","#DC143C"
51,610,"Cray XT6-HE, Opteron 6100 12C 2.1GHz","#DC143C"
52,831,"BX900 Xeon X5570 2.93GHz , Infiniband QDR","#FF7F50"
53,504,"Blue Gene/P Solution","#A9A9A9"
54,252,"Cluster Platform 3000 SL6500, Xeon E5 (Sandy Bridge - EP) 8C 2.60GHz, FDR Infiniband","#008B8B"
55,501.47,"Power 775, POWER7 8C 3.83GHz, Custom","#A9A9A9"
56,501.47,"Power 775, POWER7 8C 3.84 GHz, Custom","#A9A9A9"
57,501.47,"Power 775, POWER7 8C 3.84 GHz, Custom","#A9A9A9"
61,198.72,"Xtreme-X GreenBlade GB512X, Xeon E5 (Sandy Bridge - EP) 8C 2.60GHz, Infiniband QDR","#DC143C"
62,470.13,"Power 775, POWER7 8C 3.84 GHz, Custom","#A9A9A9"
63,470.13,"Power 775, POWER7 8C 3.84 GHz, Custom","#A9A9A9"
64,85.12,"BlueGene/Q, Power BQC 16C 1.60 GHz, Custom","#A9A9A9"
65,85.12,"BlueGene/Q, Power BQC 16C 1.60 GHz, Custom","#A9A9A9"
66,510,"iDataPlex, Xeon X56xx 6C 2.93 GHz, Infiniband","#A9A9A9"
67,869,"iDataPlex, Xeon E55xx QC 2.53 GHz, GigE","#8FBC8F"
70,489.75,"iDataPlex DX360M3, Xeon X5670 6C 2.93 GHz, Infiniband QDR","#A9A9A9"
72,719,"SGI Altix ICE 8400EX Xeon X5570 4-core 2.93 GHz, Infiniband","#008B8B"
73,774,"SGI Altix ICR 8200 Enh. LX, Xeon X5560 2.8Ghz","#008B8B"
74,423.12,"Power 775, Power7 3.836 GHz","#A9A9A9"
77,430,"Megware Saxonid 6100, Opteron 8C 2.2 GHz, Infiniband QDR","#483D8B"
82,160,"iDataPlex DX360M3, Xeon E5645 6C 2.40 GHz, Infiniband QDR, NVIDIA 2070","#A9A9A9"
83,337,"iDataPlex DX360M3, Xeon 2.66, Infiniband","#A9A9A9"
84,861,"SGI Altix ICE 8200, Xeon quad core 3.0 GHz","#008B8B"
85,786,"Cluster Platform 3000 BL460c, Xeon 53xx 3GHz, Infiniband","#008B8B"
86,1139,"Appro XtremeServer 1143H, Opteron QC 2.2Ghz, Infiniband","#DC143C"
89,276,"BladeCenter QS22/LS21 Cluster, PowerXCell 8i 3.2 Ghz / Opteron DC 1.8 GHz, Infiniband","#A9A9A9"
92,677.4,"Cray XE6 12-core 2.1 GHz","#DC143C"
96,126.27,"SuperServer  2026GT-TRF, Xeon E5645 6C 2.40GHz, Infiniband QDR, NVIDIA 2050","#FF1493"
97,315,"Blue Gene/P Solution","#A9A9A9"
98,1329,"Power 575, p6 4.7 GHz, Infiniband","#A9A9A9"
99,1329,"Power 575, p6 4.7 GHz, Infiniband","#A9A9A9"
100,1288,"Power 575, p6 4.7 GHz, Infiniband","#A9A9A9"
101,1020,"Fujitsu FX1, Quadcore  SPARC64 VII  2.52 GHz, Infiniband DDR","#FF7F50"
103,475,"SGI Altix ICE 8200 Enhanced LX, Xeon Nehalem quad core 2.8 GHz","#008B8B"
104,176.4,"Intel Cluster, Xeon E5 (Sandy Bridge - EP) 8C 2.60GHz, FDR Infiniband","#696969"
106,477,"BULL Novascale R422-E2","#B8860B"
111,117.91,"HP ProLiant SL390s G7 Xeon 6C X5660 2.8Ghz, nVidia Fermi, Infiniband QDR","#008B8B"
112,442,"SGI Altix ICE 8200EX, Xeon quad core 3.0 GHz","#008B8B"
114,81.5,"Bullx B505, Xeon E5649 6C 2.53GHz, Infiniband QDR, NVIDIA 2090","#B8860B"
117,250.74,"Power 775, POWER7 8C 3.84 GHz, Custom","#A9A9A9"
118,831,"Hitachi opteron QC 2.3 GHz Myrinet 10G","#00CED1"
120,745,"Appro GreenBlade Cluster, Xeon X5660 6C 2.80 GHz, Infiniband QDR, NVIDIA 2050","#DC143C"
122,1095,"Power 575, p6 4.7 GHz, Infiniband","#A9A9A9"
123,526.1,"xSeries x3650M2 Cluster, Xeon QC E55xx 2.53 Ghz, GigE","#A9A9A9"
124,526.1,"xSeries x3650M2 Cluster, Xeon QC E55xx 2.53 Ghz, GigE","#A9A9A9"
129,546.26,"xSeries x3650M3 Cluster, Xeon X5670 6C 2.93 GHz, Gigabit Ethernet","#A9A9A9"
131,252,"Blue Gene/P Solution","#A9A9A9"
134,108.15,"iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","#A9A9A9"
135,108.15,"iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","#A9A9A9"
137,448,"eServer Blue Gene Solution","#A9A9A9"
138,360,"Appro Xtreme-X3 Opteron 2.4GHz, Infiniband QDR","#DC143C"
140,212.62,"iDataPlex DX360M3, Xeon X5660 6C 2.80 GHz, Infiniband QDR","#A9A9A9"
143,497.76,"BladeCenter HS22 Cluster, Xeon E5540 4C 2.53 GHz, Gigabit Ethernet","#A9A9A9"
144,240.41,"BladeCenter HS22 Cluster, WM Xeon 6-core 2.93Ghz, Infiniband","#A9A9A9"
145,240.41,"BladeCenter HS22 Cluster, WM Xeon 6-core 2.93Ghz, Infiniband","#A9A9A9"
149,108.8,"Bullx S6010 Cluster,  Xeon 2.26 Ghz 8-core, QDR Infiniband","#B8860B"
150,490.18,"BladeCenter HS22 Cluster, Xeon QC GT 2.53 GHz, GigEthernet","#A9A9A9"
155,99.14,"iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","#A9A9A9"
156,99.14,"iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","#A9A9A9"
157,99.14,"iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","#A9A9A9"
158,99.14,"iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","#A9A9A9"
159,99.14,"iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","#A9A9A9"
160,99.14,"iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","#A9A9A9"
161,99.14,"iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","#A9A9A9"
162,99.14,"iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","#A9A9A9"
163,99.14,"iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","#A9A9A9"
164,99.14,"iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","#A9A9A9"
165,99.14,"iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","#A9A9A9"
166,99.14,"iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","#A9A9A9"
168,700,"Appro Xtreme-X3 Opteron 2.0GHz, Infiniband DDR","#DC143C"
170,403,"eServer Blue Gene Solution","#A9A9A9"
